Rk,Date,Tm,,Opp,Qtr,Time,Score (Before),Description,Score (After)
1,2018-10-17,DAL,@,PHO,1st,11:16.0,DAL tied (0-0),D. Jordan makes 2-pt dunk at rim (assist by L. Doncic),DAL up 2 (2-0)
2,2018-10-17,DAL,@,PHO,1st,7:50.0,DAL down 7 (6-13),D. Jordan makes 2-pt layup from 1 ft (assist by L. Doncic),DAL down 5 (8-13)
3,2018-10-17,DAL,@,PHO,1st,7:06.0,DAL down 3 (10-13),D. Jordan makes 2-pt dunk at rim (assist by L. Doncic),DAL down 1 (12-13)
4,2018-10-17,DAL,@,PHO,3rd,2:08.0,DAL down 12 (66-78),D. Finney-Smith makes 3-pt jump shot from 23 ft (assist by L. Doncic),DAL down 9 (69-78)
5,2018-10-20,DAL,,MIN,1st,7:34.0,DAL down 10 (6-16),W. Matthews makes 3-pt jump shot from 23 ft (assist by L. Doncic),DAL down 7 (9-16)
6,2018-10-20,DAL,,MIN,3rd,11:28.0,DAL tied (69-69),D. Finney-Smith makes 3-pt jump shot from 23 ft (assist by L. Doncic),DAL up 3 (72-69)
7,2018-10-20,DAL,,MIN,3rd,10:28.0,DAL up 2 (75-73),D. Jordan makes 2-pt dunk at rim (assist by L. Doncic),DAL up 4 (77-73)
8,2018-10-22,DAL,,CHI,1st,11:29.0,DAL down 2 (0-2),D. Jordan makes 2-pt dunk from 1 ft (assist by L. Doncic),DAL tied (2-2)
9,2018-10-22,DAL,,CHI,1st,9:59.0,DAL down 5 (2-7),W. Matthews makes 3-pt jump shot from 26 ft (assist by L. Doncic),DAL down 2 (5-7)
10,2018-10-22,DAL,,CHI,1st,4:40.0,DAL up 1 (17-16),D. Jordan makes 2-pt hook shot from 5 ft (assist by L. Doncic),DAL up 3 (19-16)
11,2018-10-22,DAL,,CHI,2nd,5:18.0,DAL down 2 (45-47),D. Jordan makes 2-pt dunk from 1 ft (assist by L. Doncic),DAL tied (47-47)
12,2018-10-22,DAL,,CHI,3rd,11:03.0,DAL down 2 (59-61),D. Jordan makes 2-pt hook shot from 5 ft (assist by L. Doncic),DAL tied (61-61)
13,2018-10-22,DAL,,CHI,3rd,8:30.0,DAL down 5 (61-66),D. Jordan makes 2-pt hook shot from 2 ft (assist by L. Doncic),DAL down 3 (63-66)
14,2018-10-24,DAL,@,ATL,1st,11:19.0,DAL tied (0-0),D. Smith makes 3-pt jump shot from 26 ft (assist by L. Doncic),DAL up 3 (3-0)
