Rk,Player,Season,Age,Tm,Lg,MP,G,BPM,GS,MP,PER,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS,WS/48,OBPM,DBPM,VORP
1,Chris Paul,2005-06,20,NOK,NBA,36.0,78,6.1,78,2808,22.1,.187,.491,2.5,14.8,8.5,38.2,3.4,0.2,13.7,22.2,114,104,6.8,3.6,10.4,.178,4.7,1.4,5.7
2,Nikola Jokic,2015-16,20,DEN,NBA,21.7,80,4.8,55,1733,21.5,.140,.317,11.4,24.7,17.9,18.1,2.3,2.3,13.2,19.9,118,104,4.5,2.2,6.7,.185,2.6,2.2,3.0
3,Ben Simmons,2017-18,21,PHI,NBA,33.7,81,4.6,81,2732,20.0,.011,.342,5.9,19.5,13.0,37.4,2.5,2.1,19.5,22.3,111,102,4.2,5.0,9.2,.162,1.0,3.6,4.6
4,Kawhi Leonard,2011-12,20,SAS,NBA,24.0,64,4.3,39,1534,16.6,.270,.218,7.9,16.4,12.2,6.6,2.9,1.1,9.0,14.5,119,101,3.1,2.4,5.5,.171,2.0,2.3,2.4
5,Luka Doncic,2018-19,19,DAL,NBA,32.1,47,3.5,47,1507,18.9,.432,.408,3.7,18.8,11.4,27.8,1.8,0.8,15.0,28.5,108,109,1.8,1.8,3.6,.113,2.7,0.8,2.1
6,Gustavo Ayon,2011-12,26,NOH,NBA,20.1,54,3.4,24,1088,16.7,.004,.241,9.6,19.3,14.5,11.5,2.6,3.5,13.7,14.5,111,100,1.5,1.7,3.2,.142,-0.1,3.6,1.5
7,Kenneth Faried,2011-12,22,DEN,NBA,22.5,46,3.4,39,1037,21.9,.000,.531,16.5,22.9,19.8,5.5,1.7,3.6,12.4,18.7,123,103,3.2,1.3,4.6,.212,2.3,1.0,1.4
8,Kyrie Irving,2011-12,19,CLE,NBA,30.5,51,3.3,51,1558,21.4,.245,.262,3.1,11.2,7.0,36.5,1.8,1.0,16.1,28.7,109,110,3.4,0.6,4.1,.125,4.9,-1.7,2.1
9,Blake Griffin,2010-11,21,LAC,NBA,38.0,82,3.2,82,3112,21.9,.017,.505,10.2,26.9,18.6,18.7,1.0,1.1,11.7,27.3,111,107,6.5,3.4,9.8,.152,2.2,0.9,4.0
10,Joel Embiid,2016-17,22,PHI,NBA,25.4,31,3.1,31,786,24.1,.228,.569,8.5,25.6,17.0,16.0,1.7,7.7,17.9,36.0,103,102,0.5,1.5,1.9,.117,0.0,3.2,1.0
11,Rudy Fernandez,2008-09,23,POR,NBA,25.6,78,3.1,4,1993,15.5,.632,.227,2.9,10.1,6.4,12.7,1.9,0.5,11.0,18.4,120,109,4.3,1.8,6.1,.147,3.6,-0.6,2.5
