Rk,Player,Season,Age,Tm,Lg,WS,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
1,Chris Paul,2005-06,20,NOK,NBA,10.4,78,78,36.0,5.2,12.1,4.6,9.9,0.6,2.3,5.1,6.0,0.8,4.3,5.1,7.8,2.2,0.1,2.3,2.8,16.1,.430,.464,.282,.456,.847,.546
2,Blake Griffin,2010-11,21,LAC,NBA,9.8,82,82,38.0,8.5,16.8,8.4,16.5,0.1,0.3,5.4,8.5,3.3,8.8,12.1,3.8,0.8,0.5,2.7,3.1,22.5,.506,.510,.292,.508,.642,.549
3,Ben Simmons,2017-18,21,PHI,NBA,9.2,81,81,33.7,6.7,12.3,6.7,12.2,0.0,0.1,2.4,4.2,1.8,6.3,8.1,8.2,1.7,0.9,3.4,2.6,15.8,.545,.551,.000,.545,.560,.557
4,Karl-Anthony Towns,2015-16,20,MIN,NBA,8.3,82,82,32.0,7.6,14.1,7.3,13.0,0.4,1.1,2.7,3.4,2.8,7.7,10.5,2.0,0.7,1.7,2.2,3.0,18.3,.542,.559,.341,.555,.811,.590
5,Dwight Howard,2004-05,19,ORL,NBA,7.3,82,82,32.6,4.3,8.3,4.3,8.2,0.0,0.0,3.4,5.0,3.5,6.5,10.0,0.9,0.9,1.7,2.0,2.8,12.0,.520,.521,.000,.520,.671,.571
6,Jayson Tatum,2017-18,19,BOS,NBA,7.1,80,80,30.5,5.0,10.4,3.7,7.4,1.3,3.0,2.7,3.2,0.6,4.4,5.0,1.6,1.0,0.7,1.4,2.1,13.9,.475,.492,.434,.538,.826,.586
7,Nikola Jokic,2015-16,20,DEN,NBA,6.7,80,55,21.7,3.8,7.5,3.5,6.5,0.4,1.1,1.9,2.4,2.3,4.7,7.0,2.4,1.0,0.6,1.3,2.6,10.0,.512,.541,.333,.535,.811,.582
8,Andre Iguodala,2004-05,21,PHI,NBA,6.6,82,82,32.8,3.3,6.7,2.7,4.9,0.6,1.7,1.9,2.6,1.1,4.6,5.7,3.0,1.7,0.6,1.7,2.5,9.0,.493,.550,.331,.536,.743,.580
9,Greg Monroe,2010-11,20,DET,NBA,6.6,80,48,27.8,3.8,6.9,3.8,6.9,0.0,0.0,1.8,2.9,3.1,4.4,7.5,1.3,1.2,0.6,1.0,2.5,9.4,.551,.552,.000,.551,.622,.575
10,Luis Scola,2007-08,27,HOU,NBA,6.5,82,39,24.7,4.2,8.2,4.2,8.1,0.0,0.0,1.9,2.9,2.1,4.3,6.4,1.3,0.7,0.2,1.3,2.9,10.3,.515,.517,.000,.515,.668,.548
