Rk,Player,Season,Age,Tm,Lg,G,TS_PCT,PTS,GS,MP,PER,3PAr,FTr,ORB_PCT,DRB_PCT,TRB_PCT,AST_PCT,STL_PCT,BLK_PCT,TOV_PCT,USG_PCT,ORtg,DRtg,OWS,DWS,WS,WS_48,OBPM,DBPM,BPM,VORP
1,Michael Jordan,1986-87,23,CHI,NBA,82,.562,37.1,82,3281,29.8,.029,.427,5.6,9.3,7.4,22.2,3.6,2.3,9.1,38.3,117,104,11.9,5.0,16.9,.247,8.0,0.6,8.6,8.8
2,James Harden,2018-19,29,HOU,NBA,52,.623,36.6,52,1944,31.0,.551,.484,2.8,17.7,10.0,40.5,2.8,1.8,15.4,40.2,119,110,8.2,2.1,10.3,.253,11.2,0.7,12.0,6.8
3,Kobe Bryant,2005-06,27,LAL,NBA,80,.559,35.4,80,3277,28.0,.238,.377,2.6,12.7,7.6,24.1,2.4,0.7,9.0,38.7,114,105,11.6,3.7,15.3,.224,7.3,-1.5,5.8,6.5
4,Michael Jordan,1987-88,24,CHI,NBA,82,.603,35.0,82,3311,31.7,.027,.430,4.8,10.7,7.8,27.0,3.9,2.4,9.6,34.1,123,101,15.2,6.1,21.2,.308,9.8,2.3,12.2,11.8
5,Michael Jordan,1989-90,26,CHI,NBA,82,.606,33.6,82,3197,31.2,.125,.356,5.3,15.6,10.4,28.6,3.5,1.1,9.8,33.7,123,106,14.7,4.3,19.0,.285,9.7,0.8,10.6,10.1
6,George Gervin,1979-80,27,SAS,NBA,78,.587,33.1,,2934,24.0,.053,.306,5.7,8.9,7.3,11.0,1.6,1.4,10.3,31.7,115,110,9.3,1.3,10.6,.173,4.9,-2.7,2.2,3.1
7,Allen Iverson,2005-06,30,PHI,NBA,72,.543,33.0,72,3103,25.9,.122,.455,1.7,7.1,4.4,34.9,2.3,0.2,10.2,35.8,111,110,8.8,1.8,10.6,.165,6.0,-2.5,3.5,4.3
8,Bernard King,1984-85,28,NYK,NBA,55,.585,32.9,55,2063,25.2,.008,.424,6.2,11.8,8.9,18.6,1.7,0.4,11.7,35.1,113,111,5.7,1.5,7.1,.166,5.8,-1.5,4.3,3.3
9,Michael Jordan,1992-93,29,CHI,NBA,78,.564,32.6,78,3067,29.7,.115,.284,4.9,15.1,9.8,25.2,3.7,1.3,8.4,34.7,119,102,12.0,5.2,17.2,.270,8.3,1.2,9.5,8.9
10,Michael Jordan,1988-89,25,CHI,NBA,81,.614,32.5,81,3255,31.1,.055,.442,5.5,17.3,11.6,34.7,3.6,1.2,11.9,32.1,123,103,14.6,5.2,19.8,.292,9.8,2.7,12.6,12.0
11,George Gervin,1981-82,29,SAS,NBA,79,.562,32.3,79,2817,24.2,.018,.323,5.2,9.7,7.5,11.4,1.3,0.9,8.5,35.0,114,110,8.7,2.0,10.7,.182,4.6,-2.9,1.7,2.6
12,Tracy McGrady,2002-03,23,ORL,NBA,75,.564,32.1,74,2954,30.3,.247,.400,4.6,14.6,9.5,30.0,2.2,1.5,8.4,35.2,116,104,13.2,2.9,16.1,.262,9.8,-0.1,9.7,8.7
13,Kevin Durant,2013-14,25,OKC,NBA,81,.635,32.0,81,3122,29.8,.291,.477,2.2,18.6,10.8,26.7,1.7,1.5,12.2,33.0,123,104,14.8,4.4,19.2,.295,8.4,0.4,8.8,8.5
14,Kobe Bryant,2006-07,28,LAL,NBA,77,.580,31.6,77,3140,26.1,.227,.437,2.8,13.5,8.2,25.5,1.8,0.9,10.9,33.6,115,109,10.8,2.2,13.0,.199,6.1,-1.4,4.7,5.3
15,Russell Westbrook,2016-17,28,OKC,NBA,81,.554,31.6,81,2802,30.6,.300,.433,5.4,28.8,17.1,57.3,2.3,0.9,15.9,41.7,112,104,8.5,4.6,13.1,.224,10.9,4.7,15.6,12.4
16,Michael Jordan,1990-91,27,CHI,NBA,82,.605,31.5,82,3034,31.6,.051,.365,4.6,14.3,9.5,25.2,3.7,1.7,8.7,32.9,125,102,14.9,5.4,20.3,.321,8.9,1.8,10.8,9.8
17,Allen Iverson,2001-02,26,PHI,NBA,60,.489,31.4,59,2622,21.9,.161,.351,1.9,9.6,5.8,27.6,3.5,0.4,11.0,37.8,101,100,2.6,4.3,6.9,.126,3.7,0.2,3.8,3.9
18,LeBron James,2005-06,21,CLE,NBA,79,.568,31.4,79,3361,28.1,.208,.447,2.6,17.1,9.8,32.8,2.0,1.5,10.7,33.6,115,104,12.0,4.3,16.3,.232,7.9,1.4,9.3,9.5
19,Allen Iverson,2000-01,25,PHI,NBA,71,.518,31.1,71,2979,24.0,.169,.397,1.9,8.3,5.2,23.0,3.2,0.5,10.0,35.9,106,99,7.3,4.5,11.8,.190,5.0,-0.1,4.8,5.1
20,Moses Malone,1981-82,26,HOU,NBA,81,.576,31.1,81,3398,26.8,.003,.454,17.5,21.2,19.3,6.9,1.1,2.1,11.9,29.9,118,106,11.7,3.7,15.4,.218,5.4,-1.1,4.3,5.4
21,Karl Malone,1989-90,26,UTA,NBA,82,.626,31.0,82,3122,27.2,.026,.561,9.3,24.0,17.1,13.2,1.9,1.0,13.0,32.6,118,102,10.5,5.4,15.9,.245,5.6,1.0,6.6,6.7
22,Adrian Dantley,1980-81,24,UTA,NBA,80,.622,30.7,,3417,24.3,.004,.482,6.5,10.5,8.5,16.3,1.6,0.3,12.5,28.4,118,111,12.3,1.3,13.6,.191,6.4,-1.8,4.6,5.7
