Rk,Player,Season,Age,Tm,Lg,G,TS_PCT,PTS,GS,MP,PER,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG_PCT,ORtg,DRtg,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
1,James Harden,2018-19,29,HOU,NBA,54,.622,36.6,54,2019,30.8,.557,.471,2.8,17.7,10.0,40.2,2.8,1.7,15.4,40.3,118,110,8.3,2.2,10.5,.249,11.2,0.6,11.8,7.0
2,Paul George,2018-19,28,OKC,NBA,56,.598,28.7,56,2034,24.9,.459,.336,4.0,19.0,11.4,18.0,2.9,1.1,9.9,29.8,119,104,6.1,3.7,9.7,.230,5.6,0.8,6.4,4.3
3,Stephen Curry,2018-19,30,GSW,NBA,46,.660,28.6,46,1576,25.8,.589,.241,2.3,13.4,8.0,24.0,1.7,1.0,11.4,30.4,123,111,5.8,1.4,7.3,.221,8.7,-2.0,6.7,3.5
4,Anthony Davis,2018-19,25,NOP,NBA,45,.595,28.1,45,1618,30.5,.143,.449,9.4,27.7,18.8,18.7,2.1,5.8,7.6,29.5,123,105,6.1,2.6,8.8,.261,5.0,3.6,8.6,4.4
5,Kevin Durant,2018-19,30,GSW,NBA,57,.629,27.6,57,2017,25.1,.266,.375,1.7,18.8,10.6,26.1,1.1,2.6,12.3,30.2,121,110,6.7,2.1,8.8,.210,4.5,0.1,4.6,3.4
6,Joel Embiid,2018-19,24,PHI,NBA,54,.593,27.3,54,1822,25.5,.217,.545,8.2,33.9,21.5,17.5,0.8,4.5,13.5,33.2,113,104,4.1,3.1,7.3,.192,1.4,1.9,3.3,2.4
7,Giannis Antetokounmpo,2018-19,24,MIL,NBA,53,.638,27.2,53,1757,30.3,.142,.533,7.7,30.5,19.8,30.3,2.0,3.7,15.3,31.9,120,98,6.3,4.3,10.6,.290,5.3,5.3,10.7,5.6
8,Kawhi Leonard,2018-19,27,TOR,NBA,43,.607,27.0,43,1495,26.1,.262,.409,4.3,19.3,11.9,15.7,2.6,1.0,8.6,29.8,120,105,4.8,2.4,7.2,.230,4.5,0.8,5.3,2.8
9,LeBron James,2018-19,34,LAL,NBA,39,.597,26.8,39,1363,25.7,.305,.388,2.9,22.0,12.7,36.1,1.8,1.5,13.4,30.7,115,107,3.5,1.9,5.4,.191,5.8,1.9,7.7,3.3
10,Blake Griffin,2018-19,29,DET,NBA,54,.596,26.3,54,1959,21.7,.366,.426,4.0,20.9,12.1,27.0,1.0,1.0,14.5,30.4,113,109,4.1,2.3,6.4,.157,4.7,0.8,5.5,3.7
11,Damian Lillard,2018-19,28,POR,NBA,56,.592,26.3,56,1977,23.9,.402,.347,2.4,10.9,6.7,29.2,1.6,1.1,11.2,30.1,120,111,6.5,1.7,8.2,.198,6.3,-1.1,5.3,3.6
12,Bradley Beal,2018-19,25,WAS,NBA,58,.576,25.1,58,2158,19.8,.367,.263,3.3,11.9,7.5,23.3,1.8,1.7,11.7,28.3,111,114,3.5,1.2,4.7,.105,3.2,-1.1,2.1,2.2
13,Kemba Walker,2018-19,28,CHO,NBA,57,.558,24.9,57,1962,21.4,.454,.268,1.7,12.1,6.8,28.0,1.8,1.2,10.1,31.1,112,112,3.7,1.5,5.2,.127,5.0,-1.6,3.4,2.7
14,Devin Booker,2018-19,22,PHO,NBA,44,.571,24.6,44,1529,18.8,.338,.325,1.9,11.1,6.4,33.5,1.2,0.4,15.3,31.5,107,118,1.7,0.2,1.9,.060,3.1,-3.0,0.1,0.8
15,Kyrie Irving,2018-19,26,BOS,NBA,47,.603,23.6,47,1526,25.2,.345,.204,3.8,12.1,8.0,35.8,2.4,1.2,12.1,29.5,119,107,4.7,2.2,6.9,.218,6.6,0.3,6.9,3.4
16,Karl-Anthony Towns,2018-19,23,MIN,NBA,57,.616,23.1,57,1888,25.6,.275,.329,10.8,28.4,19.5,16.3,1.4,4.6,13.4,27.4,119,107,5.3,2.7,8.0,.203,4.5,2.4,6.9,4.2
17,Zach LaVine,2018-19,23,CHI,NBA,51,.568,23.0,50,1733,18.3,.279,.322,1.8,12.7,7.2,22.7,1.3,1.0,14.0,30.4,105,114,1.2,1.0,2.2,.061,1.4,-1.6,-0.2,0.8
