Rk,Player,Season,Age,Tm,Lg,PTS,TS_PCT,eFG_PCT,WS_48,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG_PCT,2P_PCT,3P_PCT,FT_PCT
1,James Harden,2019-20,30,HOU,NBA,38.4,.645,.570,.311,34,34,37.6,11.3,24.3,6.1,10.9,5.2,13.5,10.6,12.3,1.0,5.0,6.0,7.6,1.8,0.8,4.7,3.3,.463,.558,.386,.864
2,Michael Jordan,1986-87,23,CHI,NBA,37.1,.562,.484,.247,82,82,40.0,13.4,27.8,13.2,27.0,0.1,0.8,10.2,11.9,2.0,3.2,5.2,4.6,2.9,1.5,3.3,2.9,.482,.491,.182,.857
3,James Harden,2018-19,29,HOU,NBA,36.1,.616,.541,.254,78,78,36.8,10.8,24.5,6.0,11.3,4.8,13.2,9.7,11.0,0.8,5.8,6.6,7.5,2.0,0.7,5.0,3.1,.442,.528,.368,.879
4,Kobe Bryant,2005-06,27,LAL,NBA,35.4,.559,.491,.224,80,80,41.0,12.2,27.2,10.0,20.7,2.3,6.5,8.7,10.2,0.9,4.4,5.3,4.5,1.8,0.4,3.1,2.9,.450,.482,.347,.850
5,Michael Jordan,1987-88,24,CHI,NBA,35.0,.603,.537,.308,82,82,40.4,13.0,24.4,13.0,23.7,0.1,0.6,8.8,10.5,1.7,3.8,5.5,5.9,3.2,1.6,3.1,3.3,.535,.546,.132,.841
6,Michael Jordan,1989-90,26,CHI,NBA,33.6,.606,.550,.285,82,82,39.0,12.6,24.0,11.5,21.0,1.1,3.0,7.2,8.5,1.7,5.1,6.9,6.3,2.8,0.7,3.0,2.9,.526,.548,.376,.848
7,George Gervin,1979-80,27,SAS,NBA,33.1,.587,.536,.173,78,,37.6,13.1,24.9,12.7,23.6,0.4,1.3,6.5,7.6,2.0,3.2,5.2,2.6,1.4,1.0,3.3,2.7,.528,.540,.314,.852
8,Allen Iverson,2005-06,30,PHI,NBA,33.0,.543,.467,.165,72,72,43.1,11.3,25.3,10.3,22.2,1.0,3.1,9.4,11.5,0.6,2.6,3.2,7.4,1.9,0.1,3.4,1.7,.447,.465,.323,.814
9,Bernard King,1984-85,28,NYK,NBA,32.9,.585,.531,.166,55,55,37.5,12.6,23.7,12.5,23.5,0.0,0.2,7.7,10.0,2.1,3.7,5.8,3.7,1.3,0.3,3.7,3.5,.530,.534,.100,.772
10,Michael Jordan,1992-93,29,CHI,NBA,32.6,.564,.515,.270,78,78,39.3,12.7,25.7,11.7,22.7,1.0,2.9,6.1,7.3,1.7,5.0,6.7,5.5,2.8,0.8,2.7,2.4,.495,.514,.352,.837
11,Michael Jordan,1988-89,25,CHI,NBA,32.5,.614,.546,.292,81,81,40.2,11.9,22.2,11.6,21.0,0.3,1.2,8.3,9.8,1.8,6.2,8.0,8.0,2.9,0.8,3.6,3.0,.538,.553,.276,.850
12,George Gervin,1981-82,29,SAS,NBA,32.3,.562,.502,.182,79,79,35.7,12.6,25.2,12.4,24.7,0.1,0.5,7.0,8.1,1.7,3.2,5.0,2.4,1.0,0.6,2.7,2.7,.500,.504,.278,.864
13,Tracy McGrady,2002-03,23,ORL,NBA,32.1,.564,.505,.262,75,74,39.4,11.1,24.2,8.7,18.2,2.3,6.0,7.7,9.7,1.6,4.9,6.5,5.5,1.7,0.8,2.6,2.1,.457,.481,.386,.793
14,Kevin Durant,2013-14,25,OKC,NBA,32.0,.635,.560,.295,81,81,38.5,10.5,20.8,8.1,14.8,2.4,6.1,8.7,9.9,0.7,6.7,7.4,5.5,1.3,0.7,3.5,2.1,.503,.549,.391,.873
15,Kobe Bryant,2006-07,28,LAL,NBA,31.6,.580,.502,.199,77,77,40.8,10.6,22.8,8.8,17.6,1.8,5.2,8.7,10.0,1.0,4.7,5.7,5.4,1.4,0.5,3.3,2.7,.463,.497,.344,.868
16,Russell Westbrook,2016-17,28,OKC,NBA,31.6,.554,.476,.224,81,81,34.6,10.2,24.0,7.7,16.8,2.5,7.2,8.8,10.4,1.7,9.0,10.7,10.4,1.6,0.4,5.4,2.3,.425,.459,.343,.845
17,Michael Jordan,1990-91,27,CHI,NBA,31.5,.605,.547,.321,82,82,37.0,12.1,22.4,11.7,21.3,0.4,1.1,7.0,8.2,1.4,4.6,6.0,5.5,2.7,1.0,2.5,2.8,.539,.551,.312,.851
18,Allen Iverson,2001-02,26,PHI,NBA,31.4,.489,.422,.126,60,59,43.7,11.1,27.8,9.8,23.4,1.3,4.5,7.9,9.8,0.7,3.8,4.5,5.5,2.8,0.2,4.0,1.7,.398,.419,.291,.812
19,LeBron James,2005-06,21,CLE,NBA,31.4,.568,.515,.232,79,79,42.5,11.1,23.1,9.5,18.3,1.6,4.8,7.6,10.3,0.9,6.1,7.0,6.6,1.6,0.8,3.3,2.3,.480,.518,.335,.738
20,Allen Iverson,2000-01,25,PHI,NBA,31.1,.518,.447,.190,71,71,42.0,10.7,25.5,9.4,21.2,1.4,4.3,8.2,10.1,0.7,3.1,3.8,4.6,2.5,0.3,3.3,2.1,.420,.441,.320,.814
21,Moses Malone,1981-82,26,HOU,NBA,31.1,.576,.519,.218,81,81,42.0,11.7,22.5,11.7,22.4,0.0,0.1,7.8,10.2,6.9,7.8,14.7,1.8,0.9,1.5,3.6,2.6,.519,.520,.000,.762
22,Karl Malone,1989-90,26,UTA,NBA,31.0,.626,.567,.245,82,82,38.1,11.1,19.8,11.0,19.3,0.2,0.5,8.5,11.1,2.8,8.3,11.1,2.8,1.5,0.6,3.7,3.2,.562,.567,.372,.762
23,Adrian Dantley,1980-81,24,UTA,NBA,30.7,.622,.559,.191,80,,42.7,11.4,20.3,11.3,20.3,0.0,0.1,7.9,9.8,2.4,4.0,6.4,4.0,1.4,0.2,3.5,3.1,.559,.560,.286,.806
24,Allen Iverson,2004-05,29,PHI,NBA,30.7,.532,.453,.136,75,75,42.3,10.3,24.2,8.9,19.7,1.4,4.5,8.7,10.5,0.7,3.3,4.0,7.9,2.4,0.1,4.6,1.9,.424,.451,.308,.835
25,Dominique Wilkins,1987-88,28,ATL,NBA,30.7,.534,.474,.160,78,76,37.8,11.7,25.1,11.2,23.4,0.5,1.7,6.9,8.4,2.7,3.7,6.4,2.9,1.3,0.6,2.8,2.1,.464,.476,.295,.826
26,Adrian Dantley,1983-84,27,UTA,NBA,30.6,.652,.558,.235,79,79,37.8,10.2,18.2,10.1,18.2,0.0,0.1,10.3,12.0,2.3,3.4,5.7,3.9,0.8,0.1,3.3,2.5,.558,.559,.250,.859
27,James Harden,2017-18,28,HOU,NBA,30.4,.619,.541,.289,72,72,35.4,9.0,20.1,5.4,10.1,3.7,10.0,8.7,10.1,0.6,4.8,5.4,8.8,1.8,0.7,4.4,2.3,.449,.531,.367,.858
28,Michael Jordan,1995-96,32,CHI,NBA,30.4,.582,.525,.317,82,82,37.7,11.2,22.6,9.8,19.4,1.4,3.2,6.7,8.0,1.8,4.8,6.6,4.3,2.2,0.5,2.4,2.4,.495,.506,.427,.834
29,Adrian Dantley,1981-82,25,UTA,NBA,30.3,.631,.570,.187,81,81,39.8,11.2,19.6,11.1,19.5,0.0,0.0,8.0,10.1,2.9,3.5,6.3,4.0,1.2,0.2,3.7,3.1,.570,.570,.333,.792
30,Dominique Wilkins,1985-86,26,ATL,NBA,30.3,.536,.472,.170,78,78,39.1,11.4,24.3,11.2,23.4,0.2,0.9,7.4,9.0,3.3,4.6,7.9,2.6,1.8,0.6,3.2,2.2,.468,.479,.186,.818
