,GAME_ID,EVENTNUM,EVENTMSGTYPE,PERSON1TYPE,TIMEOUT_TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION
33,21900969,46,9,2.0,1610612737,Atlanta Hawks,ATL
81,21900969,107,9,2.0,1610612737,Atlanta Hawks,ATL
168,21900969,234,9,3.0,1610612752,New York Knicks,NYK
214,21900969,299,9,2.0,1610612737,Atlanta Hawks,ATL
250,21900969,362,9,3.0,1610612752,New York Knicks,NYK
280,21900969,408,9,2.0,1610612737,Atlanta Hawks,ATL
391,21900969,571,9,3.0,1610612752,New York Knicks,NYK
420,21900969,612,9,2.0,1610612737,Atlanta Hawks,ATL
437,21900969,634,9,3.0,1610612752,New York Knicks,NYK
454,21900969,658,9,3.0,1610612752,New York Knicks,NYK
471,21900969,682,9,3.0,1610612752,New York Knicks,NYK
510,21900969,738,9,3.0,1610612752,New York Knicks,NYK
520,21900969,752,9,2.0,1610612737,Atlanta Hawks,ATL
526,21900969,761,9,3.0,1610612752,New York Knicks,NYK
529,21900969,766,9,2.0,1610612737,Atlanta Hawks,ATL
551,21900957,27,9,3.0,1610612766,Charlotte Hornets,CHA
567,21900957,49,9,2.0,1610612737,Atlanta Hawks,ATL
609,21900957,106,9,2.0,1610612737,Atlanta Hawks,ATL
661,21900957,191,9,2.0,1610612737,Atlanta Hawks,ATL
691,21900957,237,9,3.0,1610612766,Charlotte Hornets,CHA
786,21900957,378,9,3.0,1610612766,Charlotte Hornets,CHA
849,21900957,462,9,2.0,1610612737,Atlanta Hawks,ATL
907,21900957,552,9,3.0,1610612766,Charlotte Hornets,CHA
934,21900957,592,9,3.0,1610612766,Charlotte Hornets,CHA
955,21900957,625,9,3.0,1610612766,Charlotte Hornets,CHA
958,21900957,629,9,2.0,1610612737,Atlanta Hawks,ATL
968,21900957,643,9,3.0,1610612766,Charlotte Hornets,CHA
975,21900957,654,9,2.0,1610612737,Atlanta Hawks,ATL
1008,21900957,705,9,2.0,1610612737,Atlanta Hawks,ATL
1018,21900957,718,9,3.0,1610612766,Charlotte Hornets,CHA
1022,21900957,725,9,3.0,1610612766,Charlotte Hornets,CHA
1027,21900957,731,9,2.0,1610612737,Atlanta Hawks,ATL
1029,21900957,734,9,2.0,1610612737,Atlanta Hawks,ATL
1061,21900957,781,9,3.0,1610612766,Charlotte Hornets,CHA
1064,21900957,789,9,2.0,1610612737,Atlanta Hawks,ATL
1072,21900957,801,9,3.0,1610612766,Charlotte Hornets,CHA
1114,21900943,47,9,3.0,1610612737,Atlanta Hawks,ATL
1173,21900943,127,9,2.0,1610612763,Memphis Grizzlies,MEM
1232,21900943,211,9,3.0,1610612737,Atlanta Hawks,ATL
1283,21900943,279,9,2.0,1610612763,Memphis Grizzlies,MEM
1303,21900943,304,9,3.0,1610612737,Atlanta Hawks,ATL
1350,21900943,381,9,2.0,1610612763,Memphis Grizzlies,MEM
1395,21900943,441,9,3.0,1610612737,Atlanta Hawks,ATL
1536,21900943,638,9,2.0,1610612763,Memphis Grizzlies,MEM
1594,21900943,716,9,2.0,1610612763,Memphis Grizzlies,MEM
1645,21900930,56,9,2.0,1610612764,Washington Wizards,WAS
1706,21900930,414,9,3.0,1610612737,Atlanta Hawks,ATL
1762,21900930,224,9,3.0,1610612737,Atlanta Hawks,ATL
1789,21900930,261,9,2.0,1610612764,Washington Wizards,WAS
1829,21900930,328,9,3.0,1610612737,Atlanta Hawks,ATL
1905,21900930,435,9,2.0,1610612764,Washington Wizards,WAS
1963,21900930,519,9,2.0,1610612764,Washington Wizards,WAS
1993,21900930,569,9,3.0,1610612737,Atlanta Hawks,ATL
2012,21900930,597,9,2.0,1610612764,Washington Wizards,WAS
2044,21900930,643,9,3.0,1610612737,Atlanta Hawks,ATL
2048,21900930,648,9,2.0,1610612764,Washington Wizards,WAS
2050,21900930,651,9,2.0,1610612764,Washington Wizards,WAS
2098,21900905,44,9,3.0,1610612763,Memphis Grizzlies,MEM
2120,21900905,72,9,3.0,1610612763,Memphis Grizzlies,MEM
2134,21900905,89,9,2.0,1610612737,Atlanta Hawks,ATL
2232,21900905,233,9,2.0,1610612737,Atlanta Hawks,ATL
2257,21900905,271,9,2.0,1610612737,Atlanta Hawks,ATL
2378,21900905,447,9,2.0,1610612737,Atlanta Hawks,ATL
2400,21900905,476,9,2.0,1610612737,Atlanta Hawks,ATL
2455,21900905,556,9,3.0,1610612763,Memphis Grizzlies,MEM
2478,21900905,593,9,2.0,1610612737,Atlanta Hawks,ATL
2527,21900905,663,9,3.0,1610612763,Memphis Grizzlies,MEM
2550,21900905,698,9,3.0,1610612763,Memphis Grizzlies,MEM
2613,21900888,67,9,3.0,1610612757,Portland Trail Blazers,POR
2648,21900888,111,9,2.0,1610612737,Atlanta Hawks,ATL
2744,21900888,249,9,3.0,1610612757,Portland Trail Blazers,POR
2782,21900888,302,9,2.0,1610612737,Atlanta Hawks,ATL
2851,21900888,399,9,2.0,1610612737,Atlanta Hawks,ATL
2904,21900888,472,9,3.0,1610612757,Portland Trail Blazers,POR
2972,21900888,573,9,2.0,1610612737,Atlanta Hawks,ATL
3004,21900888,623,9,2.0,1610612737,Atlanta Hawks,ATL
3016,21900888,639,9,3.0,1610612757,Portland Trail Blazers,POR
3017,21900888,640,9,3.0,1610612757,Portland Trail Blazers,POR
3083,21900878,57,9,3.0,1610612751,Brooklyn Nets,BKN
3105,21900878,92,9,2.0,1610612737,Atlanta Hawks,ATL
3174,21900878,188,9,3.0,1610612751,Brooklyn Nets,BKN
3231,21900878,271,9,2.0,1610612737,Atlanta Hawks,ATL
3285,21900878,341,9,3.0,1610612751,Brooklyn Nets,BKN
3316,21900878,379,9,2.0,1610612737,Atlanta Hawks,ATL
3429,21900878,552,9,3.0,1610612751,Brooklyn Nets,BKN
3461,21900878,599,9,3.0,1610612751,Brooklyn Nets,BKN
3475,21900878,618,9,2.0,1610612737,Atlanta Hawks,ATL
3484,21900878,629,9,3.0,1610612751,Brooklyn Nets,BKN
3568,21900867,55,9,2.0,1610612737,Atlanta Hawks,ATL
3603,21900867,109,9,3.0,1610612753,Orlando Magic,ORL
3673,21900867,217,9,2.0,1610612737,Atlanta Hawks,ATL
3710,21900867,270,9,2.0,1610612737,Atlanta Hawks,ATL
3782,21900867,370,9,3.0,1610612753,Orlando Magic,ORL
3792,21900867,384,9,2.0,1610612737,Atlanta Hawks,ATL
3839,21900867,451,9,2.0,1610612737,Atlanta Hawks,ATL
3928,21900867,579,9,3.0,1610612753,Orlando Magic,ORL
3978,21900867,654,9,2.0,1610612737,Atlanta Hawks,ATL
4036,21900850,43,9,3.0,1610612737,Atlanta Hawks,ATL
4106,21900850,142,9,2.0,1610612755,Philadelphia 76ers,PHI
4162,21900850,235,9,2.0,1610612755,Philadelphia 76ers,PHI
4191,21900850,277,9,3.0,1610612737,Atlanta Hawks,ATL
4259,21900850,372,9,2.0,1610612755,Philadelphia 76ers,PHI
4309,21900850,437,9,2.0,1610612755,Philadelphia 76ers,PHI
4326,21900850,462,9,3.0,1610612737,Atlanta Hawks,ATL
4432,21900850,615,9,2.0,1610612755,Philadelphia 76ers,PHI
4461,21900850,656,9,3.0,1610612737,Atlanta Hawks,ATL
4482,21900850,684,9,3.0,1610612737,Atlanta Hawks,ATL
4493,21900850,702,9,2.0,1610612755,Philadelphia 76ers,PHI
4534,21900837,45,9,2.0,1610612737,Atlanta Hawks,ATL
4587,21900837,118,9,2.0,1610612737,Atlanta Hawks,ATL
4626,21900837,169,9,3.0,1610612742,Dallas Mavericks,DAL
4671,21900837,241,9,2.0,1610612737,Atlanta Hawks,ATL
4708,21900837,296,9,3.0,1610612742,Dallas Mavericks,DAL
4798,21900837,432,9,2.0,1610612737,Atlanta Hawks,ATL
4854,21900837,512,9,3.0,1610612742,Dallas Mavericks,DAL
4924,21900837,619,9,3.0,1610612742,Dallas Mavericks,DAL
4942,21900837,645,9,3.0,1610612742,Dallas Mavericks,DAL
4957,21900837,665,9,2.0,1610612737,Atlanta Hawks,ATL
4985,21900837,700,9,3.0,1610612742,Dallas Mavericks,DAL
4997,21900837,717,9,3.0,1610612742,Dallas Mavericks,DAL
5045,21900821,65,9,2.0,1610612737,Atlanta Hawks,ATL
5071,21900821,103,9,3.0,1610612748,Miami Heat,MIA
5149,21900821,220,9,2.0,1610612737,Atlanta Hawks,ATL
5169,21900821,250,9,3.0,1610612748,Miami Heat,MIA
5191,21900821,283,9,3.0,1610612748,Miami Heat,MIA
5311,21900821,464,9,2.0,1610612737,Atlanta Hawks,ATL
5330,21900821,492,9,3.0,1610612748,Miami Heat,MIA
5387,21900821,563,9,2.0,1610612737,Atlanta Hawks,ATL
5414,21900821,608,9,3.0,1610612748,Miami Heat,MIA
5475,21900821,705,9,2.0,1610612737,Atlanta Hawks,ATL
5516,21900821,762,9,2.0,1610612737,Atlanta Hawks,ATL
5521,21900821,770,9,3.0,1610612748,Miami Heat,MIA
5529,21900821,781,9,3.0,1610612748,Miami Heat,MIA
5592,21900807,78,9,3.0,1610612737,Atlanta Hawks,ATL
5632,21900807,136,9,2.0,1610612739,Cleveland Cavaliers,CLE
5698,21900807,229,9,3.0,1610612737,Atlanta Hawks,ATL
5741,21900807,296,9,3.0,1610612737,Atlanta Hawks,ATL
5822,21900807,410,9,3.0,1610612737,Atlanta Hawks,ATL
5870,21900807,480,9,2.0,1610612739,Cleveland Cavaliers,CLE
5915,21900807,549,9,3.0,1610612737,Atlanta Hawks,ATL
5939,21900807,584,9,2.0,1610612739,Cleveland Cavaliers,CLE
5968,21900807,627,9,2.0,1610612739,Cleveland Cavaliers,CLE
6006,21900807,677,9,3.0,1610612737,Atlanta Hawks,ATL
6066,21900795,55,9,2.0,1610612753,Orlando Magic,ORL
6098,21900795,103,9,3.0,1610612737,Atlanta Hawks,ATL
6179,21900795,232,9,2.0,1610612753,Orlando Magic,ORL
6203,21900795,264,9,3.0,1610612737,Atlanta Hawks,ATL
6279,21900795,389,9,3.0,1610612737,Atlanta Hawks,ATL
6315,21900795,447,9,2.0,1610612753,Orlando Magic,ORL
6371,21900795,534,9,3.0,1610612737,Atlanta Hawks,ATL
6404,21900795,580,9,2.0,1610612753,Orlando Magic,ORL
6420,21900795,604,9,3.0,1610612737,Atlanta Hawks,ATL
6428,21900795,615,9,2.0,1610612753,Orlando Magic,ORL
6450,21900795,642,9,3.0,1610612737,Atlanta Hawks,ATL
6512,21900787,66,9,3.0,1610612752,New York Knicks,NYK
6549,21900787,114,9,2.0,1610612737,Atlanta Hawks,ATL
