,PLAYER_NAME,GAME_CAREER,TOTAL_3MADE
0,Jamal Crawford,1,1
1,Jamal Crawford,2,1
2,Jamal Crawford,3,1
3,Jamal Crawford,4,1
4,Jamal Crawford,5,1
5,Jamal Crawford,6,1
6,Jamal Crawford,7,1
7,Jamal Crawford,8,2
8,Jamal Crawford,9,2
9,Jamal Crawford,10,2
10,Jamal Crawford,11,2
11,Jamal Crawford,12,3
12,Jamal Crawford,13,3
13,Jamal Crawford,14,4
14,Jamal Crawford,15,4
15,Jamal Crawford,16,4
16,Jamal Crawford,17,5
17,Jamal Crawford,18,5
18,Jamal Crawford,19,5
19,Jamal Crawford,20,5
20,Jamal Crawford,21,5
21,Jamal Crawford,22,5
22,Jamal Crawford,23,6
23,Jamal Crawford,24,6
24,Jamal Crawford,25,7
25,Jamal Crawford,26,7
26,Jamal Crawford,27,8
27,Jamal Crawford,28,8
28,Jamal Crawford,29,8
29,Jamal Crawford,30,9
30,Jamal Crawford,31,11
31,Jamal Crawford,32,11
32,Jamal Crawford,33,12
33,Jamal Crawford,34,14
34,Jamal Crawford,35,14
35,Jamal Crawford,36,14
36,Jamal Crawford,37,14
37,Jamal Crawford,38,14
38,Jamal Crawford,39,14
39,Jamal Crawford,40,14
40,Jamal Crawford,41,14
41,Jamal Crawford,42,14
42,Jamal Crawford,43,14
43,Jamal Crawford,44,16
44,Jamal Crawford,45,18
45,Jamal Crawford,46,19
46,Jamal Crawford,47,19
47,Jamal Crawford,48,20
48,Jamal Crawford,49,21
49,Jamal Crawford,50,22
50,Jamal Crawford,51,24
51,Jamal Crawford,52,26
52,Jamal Crawford,53,29
53,Jamal Crawford,54,31
54,Jamal Crawford,55,32
55,Jamal Crawford,56,36
56,Jamal Crawford,57,37
57,Jamal Crawford,58,37
58,Jamal Crawford,59,37
59,Jamal Crawford,60,39
60,Jamal Crawford,61,41
61,Jamal Crawford,62,43
62,Jamal Crawford,63,43
63,Jamal Crawford,64,43
64,Jamal Crawford,65,43
65,Jamal Crawford,66,43
66,Jamal Crawford,67,44
67,Jamal Crawford,68,45
68,Jamal Crawford,69,45
69,Jamal Crawford,70,46
70,Jamal Crawford,71,46
71,Jamal Crawford,72,48
72,Jamal Crawford,73,50
73,Jamal Crawford,74,50
74,Jamal Crawford,75,51
75,Jamal Crawford,76,52
76,Jamal Crawford,77,54
77,Jamal Crawford,78,55
78,Jamal Crawford,79,58
79,Jamal Crawford,80,60
80,Jamal Crawford,81,62
81,Jamal Crawford,82,65
82,Jamal Crawford,83,67
83,Jamal Crawford,84,67
84,Jamal Crawford,85,67
85,Jamal Crawford,86,67
86,Jamal Crawford,87,67
87,Jamal Crawford,88,68
88,Jamal Crawford,89,68
89,Jamal Crawford,90,70
90,Jamal Crawford,91,70
91,Jamal Crawford,92,70
92,Jamal Crawford,93,70
93,Jamal Crawford,94,72
94,Jamal Crawford,95,73
95,Jamal Crawford,96,73
96,Jamal Crawford,97,74
97,Jamal Crawford,98,74
98,Jamal Crawford,99,75
99,Jamal Crawford,100,75
100,Jamal Crawford,101,75
101,Jamal Crawford,102,75
102,Jamal Crawford,103,75
103,Jamal Crawford,104,77
104,Jamal Crawford,105,78
105,Jamal Crawford,106,78
106,Jamal Crawford,107,78
107,Jamal Crawford,108,78
108,Jamal Crawford,109,79
109,Jamal Crawford,110,80
110,Jamal Crawford,111,81
111,Jamal Crawford,112,83
112,Jamal Crawford,113,83
113,Jamal Crawford,114,84
114,Jamal Crawford,115,84
115,Jamal Crawford,116,86
116,Jamal Crawford,117,88
117,Jamal Crawford,118,89
118,Jamal Crawford,119,89
119,Jamal Crawford,120,91
120,Jamal Crawford,121,92
121,Jamal Crawford,122,95
122,Jamal Crawford,123,95
123,Jamal Crawford,124,95
124,Jamal Crawford,125,96
125,Jamal Crawford,126,98
126,Jamal Crawford,127,100
127,Jamal Crawford,128,101
128,Jamal Crawford,129,102
129,Jamal Crawford,130,103
130,Jamal Crawford,131,105
131,Jamal Crawford,132,105
132,Jamal Crawford,133,105
133,Jamal Crawford,134,105
134,Jamal Crawford,135,105
135,Jamal Crawford,136,105
136,Jamal Crawford,137,105
137,Jamal Crawford,138,106
138,Jamal Crawford,139,106
139,Jamal Crawford,140,106
140,Jamal Crawford,141,107
141,Jamal Crawford,142,108
142,Jamal Crawford,143,111
143,Jamal Crawford,144,112
144,Jamal Crawford,145,115
145,Jamal Crawford,146,116
146,Jamal Crawford,147,120
147,Jamal Crawford,148,120
148,Jamal Crawford,149,124
149,Jamal Crawford,150,127
150,Jamal Crawford,151,129
151,Jamal Crawford,152,131
152,Jamal Crawford,153,132
153,Jamal Crawford,154,133
154,Jamal Crawford,155,134
155,Jamal Crawford,156,135
156,Jamal Crawford,157,137
157,Jamal Crawford,158,138
158,Jamal Crawford,159,140
159,Jamal Crawford,160,143
160,Jamal Crawford,161,144
161,Jamal Crawford,162,146
162,Jamal Crawford,163,148
163,Jamal Crawford,164,153
164,Jamal Crawford,165,155
165,Jamal Crawford,166,156
166,Jamal Crawford,167,159
167,Jamal Crawford,168,162
168,Jamal Crawford,169,163
169,Jamal Crawford,170,165
170,Jamal Crawford,171,166
171,Jamal Crawford,172,166
172,Jamal Crawford,173,167
173,Jamal Crawford,174,168
174,Jamal Crawford,175,171
175,Jamal Crawford,176,172
176,Jamal Crawford,177,175
177,Jamal Crawford,178,177
178,Jamal Crawford,179,181
179,Jamal Crawford,180,184
180,Jamal Crawford,181,186
181,Jamal Crawford,182,188
182,Jamal Crawford,183,189
183,Jamal Crawford,184,192
184,Jamal Crawford,185,193
185,Jamal Crawford,186,195
186,Jamal Crawford,187,197
187,Jamal Crawford,188,197
188,Jamal Crawford,189,197
189,Jamal Crawford,190,201
190,Jamal Crawford,191,206
191,Jamal Crawford,192,207
192,Jamal Crawford,193,208
193,Jamal Crawford,194,212
194,Jamal Crawford,195,213
195,Jamal Crawford,196,214
196,Jamal Crawford,197,215
197,Jamal Crawford,198,217
198,Jamal Crawford,199,220
199,Jamal Crawford,200,220
200,Jamal Crawford,201,221
201,Jamal Crawford,202,224
