,PLAYER_NAME,GAME_CAREER,TOTAL_3MADE
0,Jason Terry,1,1
1,Jason Terry,2,4
2,Jason Terry,3,4
3,Jason Terry,4,4
4,Jason Terry,5,4
5,Jason Terry,6,7
6,Jason Terry,7,9
7,Jason Terry,8,11
8,Jason Terry,9,11
9,Jason Terry,10,12
10,Jason Terry,11,14
11,Jason Terry,12,15
12,Jason Terry,13,16
13,Jason Terry,14,16
14,Jason Terry,15,16
15,Jason Terry,16,16
16,Jason Terry,17,16
17,Jason Terry,18,16
18,Jason Terry,19,19
19,Jason Terry,20,20
20,Jason Terry,21,20
21,Jason Terry,22,21
22,Jason Terry,23,21
23,Jason Terry,24,21
24,Jason Terry,25,22
25,Jason Terry,26,22
26,Jason Terry,27,23
27,Jason Terry,28,23
28,Jason Terry,29,23
29,Jason Terry,30,23
30,Jason Terry,31,24
31,Jason Terry,32,24
32,Jason Terry,33,24
33,Jason Terry,34,27
34,Jason Terry,35,27
35,Jason Terry,36,27
36,Jason Terry,37,27
37,Jason Terry,38,27
38,Jason Terry,39,27
39,Jason Terry,40,29
40,Jason Terry,41,29
41,Jason Terry,42,29
42,Jason Terry,43,29
43,Jason Terry,44,29
44,Jason Terry,45,29
45,Jason Terry,46,29
46,Jason Terry,47,29
47,Jason Terry,48,29
48,Jason Terry,49,29
49,Jason Terry,50,29
50,Jason Terry,51,29
51,Jason Terry,52,29
52,Jason Terry,53,29
53,Jason Terry,54,29
54,Jason Terry,55,30
55,Jason Terry,56,30
56,Jason Terry,57,32
57,Jason Terry,58,32
58,Jason Terry,59,33
59,Jason Terry,60,33
60,Jason Terry,61,33
61,Jason Terry,62,34
62,Jason Terry,63,34
63,Jason Terry,64,35
64,Jason Terry,65,35
65,Jason Terry,66,35
66,Jason Terry,67,35
67,Jason Terry,68,35
68,Jason Terry,69,35
69,Jason Terry,70,36
70,Jason Terry,71,38
71,Jason Terry,72,39
72,Jason Terry,73,39
73,Jason Terry,74,40
74,Jason Terry,75,40
75,Jason Terry,76,41
76,Jason Terry,77,41
77,Jason Terry,78,43
78,Jason Terry,79,44
79,Jason Terry,80,46
80,Jason Terry,81,46
81,Jason Terry,82,46
82,Jason Terry,83,47
83,Jason Terry,84,47
84,Jason Terry,85,48
85,Jason Terry,86,48
86,Jason Terry,87,49
87,Jason Terry,88,50
88,Jason Terry,89,50
89,Jason Terry,90,51
90,Jason Terry,91,52
91,Jason Terry,92,53
92,Jason Terry,93,53
93,Jason Terry,94,54
94,Jason Terry,95,54
95,Jason Terry,96,54
96,Jason Terry,97,54
97,Jason Terry,98,54
98,Jason Terry,99,55
99,Jason Terry,100,57
100,Jason Terry,101,57
101,Jason Terry,102,59
102,Jason Terry,103,61
103,Jason Terry,104,61
104,Jason Terry,105,62
105,Jason Terry,106,62
106,Jason Terry,107,63
107,Jason Terry,108,63
108,Jason Terry,109,64
109,Jason Terry,110,65
110,Jason Terry,111,66
111,Jason Terry,112,66
112,Jason Terry,113,67
113,Jason Terry,114,68
114,Jason Terry,115,71
115,Jason Terry,116,72
116,Jason Terry,117,72
117,Jason Terry,118,75
118,Jason Terry,119,75
119,Jason Terry,120,76
120,Jason Terry,121,76
121,Jason Terry,122,80
122,Jason Terry,123,81
123,Jason Terry,124,81
124,Jason Terry,125,81
125,Jason Terry,126,81
126,Jason Terry,127,83
127,Jason Terry,128,84
128,Jason Terry,129,85
129,Jason Terry,130,86
130,Jason Terry,131,87
131,Jason Terry,132,92
132,Jason Terry,133,95
133,Jason Terry,134,98
134,Jason Terry,135,98
135,Jason Terry,136,100
136,Jason Terry,137,102
137,Jason Terry,138,104
138,Jason Terry,139,108
139,Jason Terry,140,111
140,Jason Terry,141,112
141,Jason Terry,142,114
142,Jason Terry,143,116
143,Jason Terry,144,118
144,Jason Terry,145,121
145,Jason Terry,146,125
146,Jason Terry,147,129
147,Jason Terry,148,133
148,Jason Terry,149,138
149,Jason Terry,150,140
150,Jason Terry,151,141
151,Jason Terry,152,144
152,Jason Terry,153,149
153,Jason Terry,154,154
154,Jason Terry,155,156
155,Jason Terry,156,157
156,Jason Terry,157,158
157,Jason Terry,158,158
158,Jason Terry,159,162
159,Jason Terry,160,163
160,Jason Terry,161,164
161,Jason Terry,162,165
162,Jason Terry,163,170
163,Jason Terry,164,170
164,Jason Terry,165,171
165,Jason Terry,166,172
166,Jason Terry,167,172
167,Jason Terry,168,174
168,Jason Terry,169,176
169,Jason Terry,170,177
170,Jason Terry,171,179
171,Jason Terry,172,185
172,Jason Terry,173,189
173,Jason Terry,174,192
174,Jason Terry,175,193
175,Jason Terry,176,194
176,Jason Terry,177,197
177,Jason Terry,178,198
178,Jason Terry,179,198
179,Jason Terry,180,200
180,Jason Terry,181,203
181,Jason Terry,182,206
182,Jason Terry,183,208
183,Jason Terry,184,208
184,Jason Terry,185,212
185,Jason Terry,186,212
186,Jason Terry,187,215
187,Jason Terry,188,217
188,Jason Terry,189,220
189,Jason Terry,190,224
190,Jason Terry,191,225
