,PLAYER_NAME,GAME_CAREER,TOTAL_3MADE
0,Ray Allen,1,2
1,Ray Allen,2,4
2,Ray Allen,3,5
3,Ray Allen,4,5
4,Ray Allen,5,6
5,Ray Allen,6,7
6,Ray Allen,7,7
7,Ray Allen,8,7
8,Ray Allen,9,10
9,Ray Allen,10,11
10,Ray Allen,11,12
11,Ray Allen,12,12
12,Ray Allen,13,13
13,Ray Allen,14,14
14,Ray Allen,15,16
15,Ray Allen,16,16
16,Ray Allen,17,16
17,Ray Allen,18,17
18,Ray Allen,19,19
19,Ray Allen,20,19
20,Ray Allen,21,20
21,Ray Allen,22,24
22,Ray Allen,23,25
23,Ray Allen,24,28
24,Ray Allen,25,30
25,Ray Allen,26,32
26,Ray Allen,27,35
27,Ray Allen,28,36
28,Ray Allen,29,38
29,Ray Allen,30,38
30,Ray Allen,31,39
31,Ray Allen,32,42
32,Ray Allen,33,43
33,Ray Allen,34,46
34,Ray Allen,35,48
35,Ray Allen,36,49
36,Ray Allen,37,49
37,Ray Allen,38,50
38,Ray Allen,39,51
39,Ray Allen,40,52
40,Ray Allen,41,54
41,Ray Allen,42,57
42,Ray Allen,43,57
43,Ray Allen,44,59
44,Ray Allen,45,60
45,Ray Allen,46,62
46,Ray Allen,47,63
47,Ray Allen,48,64
48,Ray Allen,49,65
49,Ray Allen,50,66
50,Ray Allen,51,69
51,Ray Allen,52,72
52,Ray Allen,53,75
53,Ray Allen,54,76
54,Ray Allen,55,76
55,Ray Allen,56,78
56,Ray Allen,57,79
57,Ray Allen,58,79
58,Ray Allen,59,82
59,Ray Allen,60,84
60,Ray Allen,61,85
61,Ray Allen,62,88
62,Ray Allen,63,91
63,Ray Allen,64,91
64,Ray Allen,65,93
65,Ray Allen,66,94
66,Ray Allen,67,95
67,Ray Allen,68,98
68,Ray Allen,69,98
69,Ray Allen,70,99
70,Ray Allen,71,99
71,Ray Allen,72,99
72,Ray Allen,73,99
73,Ray Allen,74,99
74,Ray Allen,75,99
75,Ray Allen,76,102
76,Ray Allen,77,105
77,Ray Allen,78,106
78,Ray Allen,79,108
79,Ray Allen,80,112
80,Ray Allen,81,114
81,Ray Allen,82,117
82,Ray Allen,83,123
83,Ray Allen,84,126
84,Ray Allen,85,126
85,Ray Allen,86,127
86,Ray Allen,87,128
87,Ray Allen,88,129
88,Ray Allen,89,129
89,Ray Allen,90,131
90,Ray Allen,91,133
91,Ray Allen,92,135
92,Ray Allen,93,136
93,Ray Allen,94,136
94,Ray Allen,95,137
95,Ray Allen,96,139
96,Ray Allen,97,142
97,Ray Allen,98,142
98,Ray Allen,99,144
99,Ray Allen,100,145
100,Ray Allen,101,145
101,Ray Allen,102,146
102,Ray Allen,103,148
103,Ray Allen,104,149
104,Ray Allen,105,151
105,Ray Allen,106,152
106,Ray Allen,107,157
107,Ray Allen,108,157
108,Ray Allen,109,158
109,Ray Allen,110,161
110,Ray Allen,111,161
111,Ray Allen,112,162
112,Ray Allen,113,162
113,Ray Allen,114,164
114,Ray Allen,115,164
115,Ray Allen,116,166
116,Ray Allen,117,169
117,Ray Allen,118,170
118,Ray Allen,119,170
119,Ray Allen,120,177
120,Ray Allen,121,179
121,Ray Allen,122,180
122,Ray Allen,123,180
123,Ray Allen,124,183
124,Ray Allen,125,184
125,Ray Allen,126,187
126,Ray Allen,127,189
127,Ray Allen,128,191
128,Ray Allen,129,193
129,Ray Allen,130,197
130,Ray Allen,131,198
131,Ray Allen,132,200
132,Ray Allen,133,204
133,Ray Allen,134,205
134,Ray Allen,135,208
135,Ray Allen,136,208
136,Ray Allen,137,212
137,Ray Allen,138,214
138,Ray Allen,139,214
139,Ray Allen,140,216
140,Ray Allen,141,216
141,Ray Allen,142,216
142,Ray Allen,143,217
143,Ray Allen,144,218
144,Ray Allen,145,219
145,Ray Allen,146,219
146,Ray Allen,147,220
147,Ray Allen,148,222
148,Ray Allen,149,223
149,Ray Allen,150,225
150,Ray Allen,151,227
151,Ray Allen,152,227
152,Ray Allen,153,230
153,Ray Allen,154,231
154,Ray Allen,155,234
155,Ray Allen,156,234
156,Ray Allen,157,235
157,Ray Allen,158,239
158,Ray Allen,159,241
159,Ray Allen,160,244
160,Ray Allen,161,244
161,Ray Allen,162,244
162,Ray Allen,163,245
163,Ray Allen,164,251
164,Ray Allen,165,254
165,Ray Allen,166,255
166,Ray Allen,167,256
167,Ray Allen,168,256
168,Ray Allen,169,257
169,Ray Allen,170,259
170,Ray Allen,171,261
171,Ray Allen,172,262
172,Ray Allen,173,263
173,Ray Allen,174,265
174,Ray Allen,175,266
175,Ray Allen,176,267
176,Ray Allen,177,269
177,Ray Allen,178,270
178,Ray Allen,179,271
179,Ray Allen,180,273
180,Ray Allen,181,276
181,Ray Allen,182,278
182,Ray Allen,183,279
183,Ray Allen,184,282
184,Ray Allen,185,283
185,Ray Allen,186,286
186,Ray Allen,187,286
187,Ray Allen,188,287
188,Ray Allen,189,289
189,Ray Allen,190,289
190,Ray Allen,191,293
191,Ray Allen,192,295
192,Ray Allen,193,298
193,Ray Allen,194,300
194,Ray Allen,195,301
195,Ray Allen,196,301
196,Ray Allen,197,301
197,Ray Allen,198,304
198,Ray Allen,199,306
199,Ray Allen,200,306
200,Ray Allen,201,307
201,Ray Allen,202,309
202,Ray Allen,203,310
203,Ray Allen,204,310
204,Ray Allen,205,312
205,Ray Allen,206,312
206,Ray Allen,207,313
207,Ray Allen,208,314
208,Ray Allen,209,317
209,Ray Allen,210,320
210,Ray Allen,211,320
211,Ray Allen,212,323
212,Ray Allen,213,324
213,Ray Allen,214,325
214,Ray Allen,215,325
215,Ray Allen,216,328
216,Ray Allen,217,331
217,Ray Allen,218,333
218,Ray Allen,219,336
219,Ray Allen,220,338
220,Ray Allen,221,339
221,Ray Allen,222,340
222,Ray Allen,223,343
223,Ray Allen,224,344
224,Ray Allen,225,348
225,Ray Allen,226,348
226,Ray Allen,227,350
227,Ray Allen,228,352
228,Ray Allen,229,355
229,Ray Allen,230,355
230,Ray Allen,231,357
231,Ray Allen,232,357
232,Ray Allen,233,359
233,Ray Allen,234,359
234,Ray Allen,235,362
235,Ray Allen,236,365
236,Ray Allen,237,368
237,Ray Allen,238,370
238,Ray Allen,239,375
239,Ray Allen,240,378
240,Ray Allen,241,380
241,Ray Allen,242,382
242,Ray Allen,243,386
243,Ray Allen,244,386
244,Ray Allen,245,389
245,Ray Allen,246,391
246,Ray Allen,247,392
247,Ray Allen,248,393
248,Ray Allen,249,396
249,Ray Allen,250,397
250,Ray Allen,251,400
251,Ray Allen,252,403
252,Ray Allen,253,405
253,Ray Allen,254,407
254,Ray Allen,255,408
255,Ray Allen,256,410
256,Ray Allen,257,410
257,Ray Allen,258,412
258,Ray Allen,259,413
259,Ray Allen,260,415
260,Ray Allen,261,420
261,Ray Allen,262,420
262,Ray Allen,263,424
263,Ray Allen,264,427
264,Ray Allen,265,430
265,Ray Allen,266,430
266,Ray Allen,267,431
267,Ray Allen,268,433
268,Ray Allen,269,435
269,Ray Allen,270,436
270,Ray Allen,271,438
271,Ray Allen,272,441
272,Ray Allen,273,442
273,Ray Allen,274,445
274,Ray Allen,275,449
275,Ray Allen,276,451
276,Ray Allen,277,452
277,Ray Allen,278,455
278,Ray Allen,279,458
279,Ray Allen,280,458
280,Ray Allen,281,460
281,Ray Allen,282,461
282,Ray Allen,283,467
283,Ray Allen,284,470
284,Ray Allen,285,474
285,Ray Allen,286,475
286,Ray Allen,287,478
287,Ray Allen,288,480
288,Ray Allen,289,481
289,Ray Allen,290,482
290,Ray Allen,291,486
291,Ray Allen,292,487
292,Ray Allen,293,490
293,Ray Allen,294,495
294,Ray Allen,295,496
295,Ray Allen,296,497
296,Ray Allen,297,499
297,Ray Allen,298,501
298,Ray Allen,299,501
299,Ray Allen,300,503
300,Ray Allen,301,506
301,Ray Allen,302,510
302,Ray Allen,303,513
303,Ray Allen,304,515
304,Ray Allen,305,519
305,Ray Allen,306,521
306,Ray Allen,307,524
307,Ray Allen,308,526
308,Ray Allen,309,529
309,Ray Allen,310,531
310,Ray Allen,311,532
311,Ray Allen,312,534
312,Ray Allen,313,536
313,Ray Allen,314,540
314,Ray Allen,315,541
315,Ray Allen,316,544
316,Ray Allen,317,548
