,PLAYER_NAME,GAME_CAREER,TOTAL_3MADE
0,Vince Carter,1,0
1,Vince Carter,2,0
2,Vince Carter,3,0
3,Vince Carter,4,0
4,Vince Carter,5,0
5,Vince Carter,6,0
6,Vince Carter,7,0
7,Vince Carter,8,3
8,Vince Carter,9,3
9,Vince Carter,10,3
10,Vince Carter,11,5
11,Vince Carter,12,5
12,Vince Carter,13,5
13,Vince Carter,14,5
14,Vince Carter,15,6
15,Vince Carter,16,6
16,Vince Carter,17,6
17,Vince Carter,18,6
18,Vince Carter,19,6
19,Vince Carter,20,6
20,Vince Carter,21,6
21,Vince Carter,22,7
22,Vince Carter,23,7
23,Vince Carter,24,8
24,Vince Carter,25,9
25,Vince Carter,26,11
26,Vince Carter,27,11
27,Vince Carter,28,11
28,Vince Carter,29,11
29,Vince Carter,30,11
30,Vince Carter,31,11
31,Vince Carter,32,11
32,Vince Carter,33,11
33,Vince Carter,34,12
34,Vince Carter,35,12
35,Vince Carter,36,12
36,Vince Carter,37,12
37,Vince Carter,38,12
38,Vince Carter,39,14
39,Vince Carter,40,14
40,Vince Carter,41,15
41,Vince Carter,42,16
42,Vince Carter,43,17
43,Vince Carter,44,17
44,Vince Carter,45,18
45,Vince Carter,46,18
46,Vince Carter,47,18
47,Vince Carter,48,18
48,Vince Carter,49,18
49,Vince Carter,50,19
50,Vince Carter,51,20
51,Vince Carter,52,21
52,Vince Carter,53,21
53,Vince Carter,54,22
54,Vince Carter,55,22
55,Vince Carter,56,23
56,Vince Carter,57,24
57,Vince Carter,58,24
58,Vince Carter,59,24
59,Vince Carter,60,25
60,Vince Carter,61,26
61,Vince Carter,62,26
62,Vince Carter,63,26
63,Vince Carter,64,27
64,Vince Carter,65,27
65,Vince Carter,66,28
66,Vince Carter,67,29
67,Vince Carter,68,31
68,Vince Carter,69,31
69,Vince Carter,70,31
70,Vince Carter,71,31
71,Vince Carter,72,31
72,Vince Carter,73,32
73,Vince Carter,74,32
74,Vince Carter,75,34
75,Vince Carter,76,34
76,Vince Carter,77,35
77,Vince Carter,78,35
78,Vince Carter,79,35
79,Vince Carter,80,36
80,Vince Carter,81,36
81,Vince Carter,82,37
82,Vince Carter,83,37
83,Vince Carter,84,37
84,Vince Carter,85,37
85,Vince Carter,86,40
86,Vince Carter,87,41
87,Vince Carter,88,41
88,Vince Carter,89,42
89,Vince Carter,90,43
90,Vince Carter,91,44
91,Vince Carter,92,45
92,Vince Carter,93,47
93,Vince Carter,94,48
94,Vince Carter,95,48
95,Vince Carter,96,52
96,Vince Carter,97,52
97,Vince Carter,98,55
98,Vince Carter,99,55
99,Vince Carter,100,55
100,Vince Carter,101,56
101,Vince Carter,102,57
102,Vince Carter,103,59
103,Vince Carter,104,63
104,Vince Carter,105,65
105,Vince Carter,106,68
106,Vince Carter,107,72
107,Vince Carter,108,72
108,Vince Carter,109,76
109,Vince Carter,110,78
110,Vince Carter,111,78
111,Vince Carter,112,79
112,Vince Carter,113,82
113,Vince Carter,114,83
114,Vince Carter,115,86
115,Vince Carter,116,88
116,Vince Carter,117,88
117,Vince Carter,118,92
118,Vince Carter,119,92
119,Vince Carter,120,92
120,Vince Carter,121,93
121,Vince Carter,122,96
122,Vince Carter,123,97
123,Vince Carter,124,100
124,Vince Carter,125,101
125,Vince Carter,126,104
126,Vince Carter,127,105
127,Vince Carter,128,108
128,Vince Carter,129,111
129,Vince Carter,130,112
130,Vince Carter,131,113
131,Vince Carter,132,114
132,Vince Carter,133,115
133,Vince Carter,134,117
134,Vince Carter,135,119
135,Vince Carter,136,121
136,Vince Carter,137,124
137,Vince Carter,138,127
138,Vince Carter,139,130
139,Vince Carter,140,133
140,Vince Carter,141,136
141,Vince Carter,142,137
142,Vince Carter,143,139
143,Vince Carter,144,139
144,Vince Carter,145,139
145,Vince Carter,146,141
146,Vince Carter,147,142
147,Vince Carter,148,147
148,Vince Carter,149,149
149,Vince Carter,150,151
150,Vince Carter,151,156
151,Vince Carter,152,159
152,Vince Carter,153,161
153,Vince Carter,154,162
154,Vince Carter,155,166
155,Vince Carter,156,168
156,Vince Carter,157,170
157,Vince Carter,158,170
158,Vince Carter,159,171
159,Vince Carter,160,174
160,Vince Carter,161,176
161,Vince Carter,162,178
162,Vince Carter,163,182
163,Vince Carter,164,188
164,Vince Carter,165,188
165,Vince Carter,166,191
166,Vince Carter,167,193
167,Vince Carter,168,198
168,Vince Carter,169,198
169,Vince Carter,170,199
170,Vince Carter,171,199
171,Vince Carter,172,201
172,Vince Carter,173,203
173,Vince Carter,174,205
174,Vince Carter,175,206
175,Vince Carter,176,207
176,Vince Carter,177,207
177,Vince Carter,178,210
178,Vince Carter,179,212
179,Vince Carter,180,213
180,Vince Carter,181,215
181,Vince Carter,182,217
182,Vince Carter,183,220
183,Vince Carter,184,224
184,Vince Carter,185,226
185,Vince Carter,186,227
186,Vince Carter,187,229
187,Vince Carter,188,231
188,Vince Carter,189,233
189,Vince Carter,190,233
190,Vince Carter,191,233
191,Vince Carter,192,237
192,Vince Carter,193,240
193,Vince Carter,194,243
194,Vince Carter,195,244
195,Vince Carter,196,246
196,Vince Carter,197,249
197,Vince Carter,198,252
198,Vince Carter,199,254
199,Vince Carter,200,258
200,Vince Carter,201,259
201,Vince Carter,202,265
202,Vince Carter,203,268
203,Vince Carter,204,269
204,Vince Carter,205,269
205,Vince Carter,206,271
206,Vince Carter,207,276
207,Vince Carter,208,276
208,Vince Carter,209,278
209,Vince Carter,210,280
210,Vince Carter,211,283
211,Vince Carter,212,289
212,Vince Carter,213,297
213,Vince Carter,214,299
214,Vince Carter,215,299
215,Vince Carter,216,301
216,Vince Carter,217,305
217,Vince Carter,218,309
218,Vince Carter,219,313
219,Vince Carter,220,315
220,Vince Carter,221,316
221,Vince Carter,222,320
222,Vince Carter,223,321
223,Vince Carter,224,321
224,Vince Carter,225,322
225,Vince Carter,226,326
226,Vince Carter,227,329
227,Vince Carter,228,333
228,Vince Carter,229,333
229,Vince Carter,230,335
230,Vince Carter,231,339
231,Vince Carter,232,341
232,Vince Carter,233,343
233,Vince Carter,234,344
234,Vince Carter,235,345
235,Vince Carter,236,346
236,Vince Carter,237,347
237,Vince Carter,238,350
238,Vince Carter,239,351
239,Vince Carter,240,352
240,Vince Carter,241,353
241,Vince Carter,242,355
242,Vince Carter,243,358
243,Vince Carter,244,359
244,Vince Carter,245,362
245,Vince Carter,246,362
246,Vince Carter,247,366
247,Vince Carter,248,367
248,Vince Carter,249,368
249,Vince Carter,250,370
250,Vince Carter,251,372
251,Vince Carter,252,373
252,Vince Carter,253,374
253,Vince Carter,254,374
254,Vince Carter,255,377
255,Vince Carter,256,378
256,Vince Carter,257,383
257,Vince Carter,258,385
258,Vince Carter,259,387
259,Vince Carter,260,389
260,Vince Carter,261,391
261,Vince Carter,262,393
262,Vince Carter,263,395
263,Vince Carter,264,395
264,Vince Carter,265,396
265,Vince Carter,266,397
266,Vince Carter,267,397
267,Vince Carter,268,397
268,Vince Carter,269,399
269,Vince Carter,270,399
270,Vince Carter,271,400
271,Vince Carter,272,403
272,Vince Carter,273,404
273,Vince Carter,274,405
274,Vince Carter,275,406
275,Vince Carter,276,407
276,Vince Carter,277,411
277,Vince Carter,278,412
278,Vince Carter,279,413
279,Vince Carter,280,414
280,Vince Carter,281,414
281,Vince Carter,282,415
282,Vince Carter,283,416
283,Vince Carter,284,416
284,Vince Carter,285,417
285,Vince Carter,286,417
286,Vince Carter,287,417
287,Vince Carter,288,417
288,Vince Carter,289,419
289,Vince Carter,290,419
290,Vince Carter,291,419
291,Vince Carter,292,422
292,Vince Carter,293,427
293,Vince Carter,294,429
294,Vince Carter,295,432
295,Vince Carter,296,433
296,Vince Carter,297,433
297,Vince Carter,298,435
298,Vince Carter,299,436
299,Vince Carter,300,436
300,Vince Carter,301,436
301,Vince Carter,302,436
302,Vince Carter,303,437
303,Vince Carter,304,438
304,Vince Carter,305,438
305,Vince Carter,306,440
306,Vince Carter,307,441
307,Vince Carter,308,441
308,Vince Carter,309,442
309,Vince Carter,310,442
310,Vince Carter,311,442
311,Vince Carter,312,444
312,Vince Carter,313,444
313,Vince Carter,314,444
314,Vince Carter,315,444
315,Vince Carter,316,446
316,Vince Carter,317,450
317,Vince Carter,318,451
318,Vince Carter,319,452
319,Vince Carter,320,452
320,Vince Carter,321,453
321,Vince Carter,322,454
322,Vince Carter,323,454
323,Vince Carter,324,456
324,Vince Carter,325,456
325,Vince Carter,326,456
326,Vince Carter,327,456
327,Vince Carter,328,459
328,Vince Carter,329,459
329,Vince Carter,330,462
330,Vince Carter,331,463
331,Vince Carter,332,468
332,Vince Carter,333,468
333,Vince Carter,334,470
